PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),TotalGHGEmissions,pct_electricity,pct_steam
Office,47.69999,-122.32663,1979,6,88774,6353294.0,42.03,0.9489756022623854,0.0
Office,47.69917,-122.3268,1983,5,122250,5535626.0,38.59,0.9999998193519577,0.0
Office,47.70063,-122.32487,1979,4,53730,4742869.0,33.06,1.0,0.0
Office,47.5671,-122.36416,1960,3,55593,4414587.0,93.23,0.6438991914758957,0.0
Office,47.62269,-122.33224,1982,4,73096,4899096.0,32.73,0.9583682377320224,0.0
Retail,47.5653,-122.33076,2005,1,158415,23293664.0,454.49,0.6837753820094598,0.0
Office,47.62003,-122.35706,1985,4,58195,3018140.75,20.86,0.9912307767621507,0.0
Retail,47.66057,-122.36857,1999,1,164437,19031574.0,326.18,0.7408477617248053,0.0
Office,47.62402,-122.33755,2009,5,118248,5869476.5,40.47,0.9627877375435441,0.0
Other,47.62348,-122.33743,1928,3,55200,12072969.0,269.71,0.6212538108894341,0.0
Office,47.62286,-122.33804,2004,6,86700,3238216.0,22.57,1.0,0.0
Office,47.62383,-122.3356,2009,5,172371,7960023.0,61.93,0.9667409252460702,0.0
Warehouse,47.62572,-122.33389,1914,5,127800,2811924.5,29.53,0.9052839078716374,0.0
Office,47.62621,-122.33128,2001,6,131592,11812678.0,94.64,0.9921381925419452,0.0
Office,47.62137,-122.33744,2006,4,136143,6917478.5,122.68,0.7667253320700599,0.0
Office,47.62131,-122.33814,2006,6,193198,7554767.0,69.59,0.9460856966204252,0.0
Other,47.62002,-122.33687,1954,3,67380,3066491.25,74.1,0.5107534547832152,0.0
Office,47.62115,-122.3597,1974,5,67236,3558562.5,23.81,0.9598148128633401,0.0
Office,47.62224,-122.3585,1972,5,66762,3838006.75,25.32,0.9464845261150205,0.0
Office,47.62224,-122.3585,1970,5,66762,3705629.0,24.35,0.94264509480037,0.0
Office,47.65884,-122.3183,1994,4,95995,8422861.0,77.99,0.9504244460403656,0.0
