PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,pct_electricity,pct_steam,has_parking
Office,47.6117,-122.34778,1998,11,184776,189629,13329024.0,92.92,0.9999998499515044,0.0,True
Other,47.61252,-122.34351,1985,12,38000,155500,14436982.0,100.65,0.9999999307334455,0.0,True
Office,47.61304,-122.34059,1925,4,0,52800,2429021.0,44.48,0.7541853281630747,0.0,False
Other,47.61048,-122.32837,1988,9,0,46710,4169431.5,130.69,0.6528746185181361,0.3471251716211191,False
Office,47.61048,-122.32837,1945,3,104000,162000,13911761.0,201.15,0.8556039742200862,0.03426897662344832,True
Hospitality,47.62036,-122.34588,1979,5,29409,79608,9474745.0,243.66,0.5937252137128757,0.0,True
Warehouse,47.56064,-122.32522,2001,1,0,123061,1987934.625,13.86,0.9999996856033432,0.0,False
Warehouse,47.54868,-122.3255,1963,1,0,59090,2756214.75,117.11,0.23016566470373906,0.0,False
Warehouse,47.5471,-122.32406,1963,1,0,106000,763364.5,5.32,0.9999993450049092,0.0,False
Office,47.63349,-122.32634,1962,3,38400,120200,18309150.0,236.9,0.8706590966811676,0.0,True
Warehouse,47.53764,-122.3232,1960,1,0,119661,775729.1875,5.44,0.9990148785010103,0.0,False
Office,47.62958,-122.32826,2001,7,44728,94472,4342597.0,30.27,1.0,0.0,True
Office,47.62566,-122.34287,1984,6,33921,61800,3063504.5,21.36,0.9999998367882273,0.0,True
Office,47.62929,-122.34194,1996,5,115228,98055,5661689.5,39.47,0.9999999116871386,0.0,True
Office,47.64776,-122.33924,2001,3,47656,56041,11319836.0,374.92,0.4332432908038597,0.0,True
Office,47.70105,-122.32659,1974,5,0,74880,5134607.5,35.8,0.9999999026215733,0.0,False
Office,47.69999,-122.32663,1979,6,0,88774,6029121.5,42.03,0.9999999170691783,0.0,False
Office,47.69917,-122.3268,1983,5,0,122250,5535626.0,38.59,0.9999998193519577,0.0,False
Office,47.70063,-122.32487,1979,4,0,53730,4742869.0,33.06,1.0,0.0,False
Office,47.5671,-122.36416,1960,3,0,55593,4224872.5,93.23,0.6728129665451442,0.0,False
